Callsign,Modes,"TX Frequency","TX CTCSS","RX Frequency","RX CTCSS","RX 1750",Duplex,Offset,Status,Latitude,Longitude,QTH,Locator
SR4UVN,"dstar, c4fm",439.4625,,431.8625,,,-,7.6,working,53.770592,20.490134,Olsztyn,KO03FS
SR4WA,"fm, echolink, minilink",438.125,67,430.525,67,,-,7.6,testing,53.438,19.458,Wawrowice,JO93RK
SR4X,"fm, echolink, fmpoland",145.6,,145,67,,-,0.6,working,53.015657,23.135085,Juchnowiec,KO13NA
SR5AWK,"tetra, fmpoland",431.6125,,431.6125,,,,0,working,52.13117,21.055902,Warszawa,KO02MD
SR5CI,fm,438.4375,,430.8375,127.3,,-,7.6,working,52.88445,20.602777,Ciechanow,KO02HV
SR5DMR,dmr,438.2125,,430.6125,,,-,7.6,working,52.980992,20.677636,"06-461 Koziczyn 46",KO02IX
SR5DMRC,dmr,145.6375,,145.0375,,,-,0.6,working,52.981,20.677617,"06-461 Koziczyn 46",KO02IX
SR5DV,"fm, dmr, apco25, c4fm",145.5875,127.3,144.9875,127.3,,-,0.6,planned,52.152627,21.564994,,KO02SD
SR5DVR,dmr,439.3625,,431.7625,,,-,7.6,working,51.408264,21.113534,"RADOM - maszt Emitel",KO01NJ
SR5E,"fm, fmpoland",439.375,,431.775,127.3,,-,7.6,working,52.210948,20.9751663,Warszawa-Ochota,KO02LF
SR5ECHO,fm,439.15,,439.15,,,,0,testing,52.188,20.875,Warszawa,KO02ke
SR5ECHO,fm,145.7,,145.7,,,,0,testing,52.188,20.875,WARSZAWA,KO02KE
SR5FUS,c4fm,438.15,,430.55,,,-,7.6,working,51.421913,21.163807,Radom,KO01NK
SR5FWG,"fm, c4fm",438.25,127.3,430.65,127.3,,-,7.6,working,51.901273,21.614472,Garwolin,KO01TV
